source_controller,annotation_original,uso_nos_clusters,funcionalidade,apisix_plugin,apisix_config,suporte,observacoes,valores_encontrados
nginx,nginx.ingress.kubernetes.io/cors-max-age,2,Max-age do preflight CORS,cors,plugin cors: max_age,Completo,,86400
nginx,nginx.ingress.kubernetes.io/cors-allow-Origin,2,Origins permitidas para CORS (typo: 'O' maiúsculo — provavelmente inativo no cluster),cors,plugin cors: allow_origins,Completo,"Atenção: esta annotation tem 'O' maiúsculo em 'Origin', o que é um typo — o NGINX provavelmente ignora ela. Usar nginx.ingress.kubernetes.io/cors-allow-origin (minúsculo) no APISIX.",*
nginx,nginx.ingress.kubernetes.io/limit-burst-multiplier,2,Multiplicador de burst para rate limiting,limit-req,plugin limit-req: burst,Completo,,2
kong,konghq.com/methods,2,Métodos HTTP aceitos pela rota,configuração da rota APISIX,Route: methods array,Completo,,GET
nginx,nginx.ingress.kubernetes.io/compute-full-forwarded-for,1,Acumula todos os IPs no header X-Forwarded-For (não sobrescreve),real-ip / proxy-rewrite,plugin real-ip: recursive: true,Completo,,true
nginx,nginx.ingress.kubernetes.io/use-forwarded-headers,1,Usa os headers X-Forwarded-* recebidos em vez de sobrescrevê-los,real-ip,plugin real-ip: trusted_addresses com CIDRs dos proxies upstream,Completo,,true
nginx,nginx.ingress.kubernetes.io/affinity,1,Session affinity (cookie-based sticky sessions),configuração do upstream,"upstream: hash_on: cookie, key: <cookie_name>",Completo,,cookie
nginx,nginx.ingress.kubernetes.io/session-cookie-expires,1,Tempo de expiração do cookie de session affinity (segundos),configuração do upstream,Não há campo de expiração de cookie no upstream do APISIX,Sem suporte nativo,APISIX não gerencia expiração do cookie de sticky session. O cookie persiste enquanto o browser estiver aberto.,1h
nginx,nginx.ingress.kubernetes.io/session-cookie-max-age,1,Max-age do cookie de session affinity (segundos),configuração do upstream,Não há campo de max-age de cookie no upstream do APISIX,Sem suporte nativo,Mesmo caso do session-cookie-expires.,3600
nginx,nginx.ingress.kubernetes.io/session-cookie-name,1,Nome do cookie de session affinity,configuração do upstream,"upstream: hash_on: cookie, key: <nome>",Completo,,backstage_session
nginx,nginx.ingress.kubernetes.io/priority,1,Prioridade da rota quando múltiplos ingresses têm regras conflitantes,configuração da rota APISIX,Route: priority: <valor>,Completo,APISIX tem campo priority nativo nas rotas.,100
nginx,nginx.ingress.kubernetes.io/proxy-hide-headers,1,Lista de headers da resposta do upstream a remover antes de enviar ao cliente,response-rewrite,plugin response-rewrite: headers (setar header como empty string para remover),Parcial - requer ajuste,APISIX response-rewrite permite remover headers setando valor vazio.,"X-Frame-Options, Content-Security-Policy"
nginx,nginx.ingress.kubernetes.io/proxy-intercept-errors,1,Intercepta respostas de erro do upstream para repassar ao custom-http-errors,serverless-post-function,plugin serverless-post-function para interceptar status codes de erro,Manual - análise caso a caso,Funciona em conjunto com custom-http-errors. Requer lógica Lua.,false
nginx,nginx.ingress.kubernetes.io/reload-ts,1,Timestamp interno usado pelo NGINX controller para forçar reload de configuração,não aplicável,não aplicável,Sem suporte nativo,Annotation interna do NGINX Ingress Controller. Não tem função de roteamento e não precisa ser migrada.,1763131917
nginx,nginx.ingress.kubernetes.io/denylist-source-range,1,CIDRs bloqueados (blacklist de IP),ip-restriction,plugin ip-restriction: blacklist,Completo,,179.190.144.219/32
nginx,nginx.ingress.kubernetes.io/canary,1,Habilita roteamento canary,traffic-split,plugin traffic-split,Completo,APISIX traffic-split é mais poderoso; suporta múltiplos upstreams.,true
nginx,nginx.ingress.kubernetes.io/canary-weight,1,Peso percentual do tráfego para o canary,traffic-split,plugin traffic-split: rules[].weighted_upstreams[].weight,Completo,,30
nginx,nginx.ingress.kubernetes.io/load-balance,1,Algoritmo de load balancing,configuração do upstream,upstream: type: roundrobin|chash|ewma|least_conn,Completo,,ewma
nginx,nginx.ingress.kubernetes.io/mirror-request-body,1,Habilita/desabilita espelhamento do body da requisição,proxy-mirror,plugin proxy-mirror — espelha body por padrão,Completo,,true
nginx,nginx.ingress.kubernetes.io/mirror-target,1,URL para espelhar (mirror) o tráfego — útil para testes em paralelo,proxy-mirror,plugin proxy-mirror: host: <url>,Completo,,http://echo-mirror.mirror-test.svc.cluster.local$request_uri
nginx,nginx.ingress.kubernetes.io/health-check-path,1,Path de health check do upstream,configuração do upstream,upstream: checks.active.http_path: <path>,Completo,APISIX suporta health checks ativos e passivos no upstream.,/sidekiq/stats
